name,symbol,logoUrl
BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,BSOKE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BSOKE.png
BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,BTCIM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BTCIM.png
BURSA ÇİMENTO FABRİKASI A.Ş.,BUCIM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BUCIM.png
BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURCE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BURCE.png
BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURVA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BURVA.png
BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,BVSAN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BVSAN.png
BAYDÖNER RESTORANLARI A.Ş.,BYDNR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BYDNR.png
ÇAN2 TERMİK A.Ş.,CANTE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CANTE.png
CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,CASA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CASA.png
COCA-COLA İÇECEK A.Ş.,CCOLA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CCOLA.png
ÇELİK HALAT VE TEL SANAYİİ A.Ş.,CELHA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CELHA.png
ÇEMAŞ DÖKÜM SANAYİ A.Ş.,CEMAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CEMAS.png
ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,CEMTS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CEMTS.png
CEO EVENT MEDYA A.Ş.,CEOEM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CEOEM.png
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,CIMSA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CIMSA.png
ÇELEBİ HAVA SERVİSİ A.Ş.,CLEBI,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CLEBI.png
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,CMBTN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CMBTN.png
ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,CMENT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CMENT.png
CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,CONSE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CONSE.png
COSMOS YATIRIM HOLDİNG A.Ş.,COSMO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/COSMO.png
